Company,Product,TypeName,ScreenResolution,CPU_Company,CPU_Type,GPU_Company,GPU_Type,OpSys,Laptop_ID
Apple,MacBook Pro,Ultrabook,IPS Panel Retina Display 2560x1600,Intel,Core i5,Intel,Iris Plus Graphics 640,macOS,1
Apple,Macbook Air,Ultrabook,1440x900,Intel,Core i5,Intel,HD Graphics 6000,macOS,2
HP,250 G6,Notebook,Full HD 1920x1080,Intel,Core i5 7200U,Intel,HD Graphics 620,No OS,3
Apple,MacBook Pro,Ultrabook,IPS Panel Retina Display 2880x1800,Intel,Core i7,AMD,Radeon Pro 455,macOS,4
Apple,MacBook Pro,Ultrabook,IPS Panel Retina Display 2560x1600,Intel,Core i5,Intel,Iris Plus Graphics 650,macOS,5
Acer,Aspire 3,Notebook,1366x768,AMD,A9-Series 9420,AMD,Radeon R5,Windows 10,6
Apple,MacBook Pro,Ultrabook,IPS Panel Retina Display 2880x1800,Intel,Core i7,Intel,Iris Pro Graphics,Mac OS X,7
Apple,Macbook Air,Ultrabook,1440x900,Intel,Core i5,Intel,HD Graphics 6000,macOS,8
Asus,ZenBook UX430UN,Ultrabook,Full HD 1920x1080,Intel,Core i7 8550U,Nvidia,GeForce MX150,Windows 10,9
Acer,Swift 3,Ultrabook,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,Intel,UHD Graphics 620,Windows 10,10
HP,250 G6,Notebook,1366x768,Intel,Core i5 7200U,Intel,HD Graphics 620,No OS,11
HP,250 G6,Notebook,Full HD 1920x1080,Intel,Core i3 6006U,Intel,HD Graphics 520,No OS,12
Apple,MacBook Pro,Ultrabook,IPS Panel Retina Display 2880x1800,Intel,Core i7,AMD,Radeon Pro 555,macOS,13
Dell,Inspiron 3567,Notebook,Full HD 1920x1080,Intel,Core i3 6006U,AMD,Radeon R5 M430,Windows 10,14
Apple,"MacBook 12""",Ultrabook,IPS Panel Retina Display 2304x1440,Intel,Core M m3,Intel,HD Graphics 615,macOS,15
Apple,MacBook Pro,Ultrabook,IPS Panel Retina Display 2560x1600,Intel,Core i5,Intel,Iris Plus Graphics 640,macOS,16
Dell,Inspiron 3567,Notebook,Full HD 1920x1080,Intel,Core i7 7500U,AMD,Radeon R5 M430,Windows 10,17
Apple,MacBook Pro,Ultrabook,IPS Panel Retina Display 2880x1800,Intel,Core i7,AMD,Radeon Pro 560,macOS,18
Lenovo,IdeaPad 320-15IKB,Notebook,Full HD 1920x1080,Intel,Core i3 7100U,Nvidia,GeForce 940MX,No OS,19
Dell,XPS 13,Ultrabook,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i5 8250U,Intel,UHD Graphics 620,Windows 10,20
Asus,Vivobook E200HA,Netbook,1366x768,Intel,Atom x5-Z8350,Intel,HD Graphics 400,Windows 10,21
Lenovo,Legion Y520-15IKBN,Gaming,IPS Panel Full HD 1920x1080,Intel,Core i5 7300HQ,Nvidia,GeForce GTX 1050,Windows 10,22
HP,255 G6,Notebook,1366x768,AMD,E-Series E2-9000e,AMD,Radeon R2,No OS,23
Dell,Inspiron 5379,2 in 1 Convertible,Full HD / Touchscreen 1920x1080,Intel,Core i5 8250U,Intel,UHD Graphics 620,Windows 10,24
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,Full HD 1920x1080,Intel,Core i7 8550U,Intel,HD Graphics 620,Windows 10,25
Dell,Inspiron 3567,Notebook,1366x768,Intel,Core i3 6006U,Intel,HD Graphics 520,Windows 10,26
Apple,MacBook Air,Ultrabook,1440x900,Intel,Core i5,Intel,HD Graphics 6000,Mac OS X,27
Dell,Inspiron 5570,Notebook,Full HD 1920x1080,Intel,Core i5 8250U,AMD,Radeon 530,Windows 10,28
Dell,Latitude 5590,Ultrabook,Full HD 1920x1080,Intel,Core i7 8650U,Intel,UHD Graphics 620,Windows 10,29
HP,ProBook 470,Notebook,Full HD 1920x1080,Intel,Core i5 8250U,Nvidia,GeForce 930MX,Windows 10,30
Chuwi,"LapBook 15.6""",Notebook,Full HD 1920x1080,Intel,Atom x5-Z8300,Intel,HD Graphics,Windows 10,31
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,1366x768,AMD,E-Series E2-6110,AMD,Radeon R2,Windows 10,32
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,Full HD 1920x1080,AMD,A6-Series 9220,AMD,Radeon 530,Windows 10,33
Dell,XPS 13,Ultrabook,Touchscreen / Quad HD+ 3200x1800,Intel,Core i7 8550U,Intel,UHD Graphics 620,Windows 10,34
Apple,MacBook Air,Ultrabook,1440x900,Intel,Core i5,Intel,HD Graphics 6000,Mac OS X,35
Lenovo,IdeaPad 120S-14IAP,Notebook,1366x768,Intel,Celeron Dual Core N3350,Intel,HD Graphics 500,Windows 10,36
Acer,Aspire 3,Notebook,1366x768,Intel,Core i3 7130U,Intel,HD Graphics 620,Linux,37
Dell,Inspiron 5770,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,AMD,Radeon 530,Windows 10,38
