CPU_Frequency (GHz),RAM (GB),Memory,Weight (kg),Price (Euro),Laptop_ID
2.3,8,128GB SSD,1.37,1339.69,1
1.8,8,128GB Flash Storage,1.34,898.94,2
2.5,8,256GB SSD,1.86,575.0,3
2.7,16,512GB SSD,1.83,2537.45,4
3.1,8,256GB SSD,1.37,1803.6,5
3.0,4,500GB HDD,2.1,400.0,6
2.2,16,256GB Flash Storage,2.04,2139.97,7
1.8,8,256GB Flash Storage,1.34,1158.7,8
1.8,16,512GB SSD,1.3,1495.0,9
1.6,8,256GB SSD,1.6,770.0,10
2.5,4,500GB HDD,1.86,393.9,11
2.0,4,500GB HDD,1.86,344.99,12
2.8,16,256GB SSD,1.83,2439.97,13
2.0,4,256GB SSD,2.2,498.9,14
1.2,8,256GB SSD,0.92,1262.4,15
2.3,8,256GB SSD,1.37,1518.55,16
2.7,8,256GB SSD,2.2,745.0,17
2.9,16,512GB SSD,1.83,2858.0,18
2.4,8,1TB HDD,2.2,499.0,19
1.6,8,128GB SSD,1.22,979.0,20
1.44,2,32GB Flash Storage,0.98,191.9,21
2.5,8,128GB SSD +  1TB HDD,2.5,999.0,22
1.5,4,500GB HDD,1.86,258.0,23
1.6,8,256GB SSD,1.62,819.0,24
1.8,8,256GB SSD,1.91,659.0,25
2.0,4,1TB HDD,2.3,418.64,26
1.6,8,128GB Flash Storage,1.35,1099.0,27
1.6,8,256GB SSD,2.2,800.0,28
1.9,8,256GB SSD +  256GB SSD,1.88,1298.0,29
1.6,8,1TB HDD,2.5,896.0,30
1.44,4,64GB Flash Storage,1.89,244.99,31
1.5,2,32GB Flash Storage,1.65,199.0,32
2.5,4,500GB HDD,2.71,439.0,33
1.8,16,512GB SSD,1.2,1869.0,34
1.6,8,256GB Flash Storage,1.35,998.0,35
1.1,4,64GB Flash Storage,1.44,249.0,36
2.7,4,1TB HDD,2.1,367.0,37
1.6,8,128GB SSD +  1TB HDD,2.8,979.0,38
2.5,4,1TB HDD,1.86,488.69,39
1.6,8,256GB SSD,2.1,879.0,40
2.0,4,1TB HDD,2.0,389.0,41
2.8,16,256GB SSD +  1TB HDD,2.65,1499.0,42
2.5,8,1TB HDD,2.3,522.99,43
1.6,4,256GB SSD,2.2,682.0,44
1.6,12,1TB HDD,2.77,999.0,45
2.0,8,256GB SSD,1.37,1419.0,46
2.0,4,128GB SSD,2.2,369.0,47
3.0,8,256GB SSD +  1TB HDD,3.2,1299.0,48
2.5,4,256GB SSD,2.3,639.0,49
1.1,4,1TB HDD,2.8,466.0,50
1.44,4,64GB Flash Storage,0.69,319.0,51
1.8,8,256GB SSD,2.2,841.0,52
2.5,4,256GB SSD,1.86,398.49,53
1.8,8,512GB SSD,1.49,1103.0,54
